student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade
1,17.1,87.1,2.7,74.4,C
2,7.7,95.8,7.8,79.5,C
3,20.3,67.3,5.9,72.5,C
4,21.6,81.6,4.8,79.2,C
5,1.3,94.9,5.5,71.1,C
6,5.9,85.8,8.1,73.7,C
7,15.9,100,7.5,89.1,B
8,12.8,66.1,5.7,68.1,D
9,14.9,64.7,3.7,61.5,D
10,9,94.2,3.9,70.3,C
11,21.2,95.4,7.5,89.2,B
12,20.4,82.7,3.4,77.5,C
13,15.5,89.8,5.8,77.1,C
14,22.9,93.9,10,98.9,A
15,18.3,75.2,6.9,81.6,B
16,9,76.5,7.5,73.1,C
17,17.6,87.3,3.9,80,B
18,8.3,95.8,3.5,74.2,C
19,21.1,71,7.6,76.8,C
20,14.7,82.6,5.4,80.3,B
21,13.7,82.1,8.3,82.4,B
22,10.2,90,6.3,71.7,C
23,23.6,84.9,10,90.9,A
24,13.9,78.4,5.1,75.8,C
25,12,100,6.8,82.2,B
26,12.5,78.5,4.4,79.3,C
27,18.7,81.5,8.3,89.3,B
28,17.6,65.9,7.1,74.3,C
29,17.9,76.4,4.3,75.4,C
30,18,91.2,5.6,82,B
31,30,88.8,8.9,93.4,A
32,12.2,92.2,8.7,80,B
33,11.4,91.6,3.4,77.1,C
34,9.3,100,5.3,85.2,B
35,19.3,76,9.8,88.3,B
36,22.9,65.6,5.9,80.2,B
37,14.2,72.4,6.6,67.4,D
38,9.1,76.6,8.3,68.7,D
39,9.2,73.3,3.5,70.7,C
40,19.6,86.1,4.3,85.7,B
41,20.2,100,5.6,89.5,B
42,18.8,100,8.6,89.5,B
43,10.3,91.1,8.2,84.5,B
44,16.6,100,7.6,89.9,B
45,15.8,80.7,5.9,81.4,B
46,16.5,65.4,8.5,70.5,C
47,21.1,97.6,5.9,89.1,B
48,16.6,62.9,7.4,79.2,C
49,19.8,75.9,8,83.4,B
50,15.5,91.2,9.6,88.8,B
51,17,83.8,6.1,80.3,B
52,19.4,82.7,5.5,81.2,B
53,4.8,70.8,8.8,73.9,C
54,12.8,84.9,8.9,78.8,C
55,11.7,97,5.1,77.5,C
56,10.5,85.2,4,71.9,C
57,13.1,75,8.6,77.3,C
58,25.5,70,2.9,73,C
59,8.9,75.3,2.8,69.4,D
60,21.8,89.7,5.7,84.9,B
61,3.2,89.1,6.2,74.5,C
62,12.7,75.4,3.9,64.9,D
63,16.1,58.5,6.4,73.5,C
64,19.1,90,6.5,88.6,B
65,20,74.2,5,79.1,C
66,20.6,93.3,10,91.1,A
67,12.6,75.9,6.9,77.6,C
68,11.8,73.1,8.3,78.9,C
69,21,86.8,3.1,82.3,B
70,13.7,100,3.1,81.7,B
71,6.1,94,6.9,81.7,B
72,7.1,86.6,9.7,80.4,B
73,8.6,89.3,4,70.9,C
74,18.5,64,6.3,78.2,C
75,16,71.5,3.5,71.6,C
76,19.8,54.9,4.6,70.2,C
77,12,100,6.4,83,B
78,16.1,100,5,87,B
79,19.4,89.7,3.4,86.1,B
80,12.8,86.6,3.3,74.9,C
81,18.2,66.4,2.2,75.4,C
82,10.4,82.4,7,76.3,C
83,12.5,100,7.2,88.2,B
84,12.3,86.6,7.2,79.6,C
85,6.6,78.2,4.2,66.7,D
86,18.4,63.9,8,82.2,B
87,11.7,100,7.4,81.9,B
88,15.1,84.2,6,76.9,C
89,18.4,63.9,5.7,69.8,D
90,18.1,73.9,4.7,79.6,C
91,19.7,69.7,6.4,82,B
92,14.3,83.4,9.2,83,B
93,12,87.5,8.3,77.5,C
94,14.4,79,5.5,75.8,C
95,3.2,94.3,7.1,73.9,C
96,4.9,85.9,3.8,66.1,D
97,5.7,97.7,7.5,77,C
98,8,80.7,4.3,71.8,C
99,17.8,100,7.4,86.4,B
100,8.7,78.2,10,77.5,C
101,12.4,74.2,4.9,66.5,D
102,24.1,72.7,10,91.3,A
103,12.5,82.5,7,76.3,C
104,20.2,64.4,4.5,76.3,C
105,8.5,88.5,4.4,74.1,C
106,13.6,62.1,10,75.7,C
107,8.3,86.9,7,72.5,C
108,12.6,68.8,4.9,67.8,D
109,20.9,80.4,5.6,79.1,C
110,2.9,92.3,6.9,73.7,C
111,18,100,6,90.7,A
112,16.7,72.1,6.7,77.8,C
113,10.8,83.2,9.5,76.8,C
114,4.9,76.3,3.7,65.9,D
115,15.5,74.6,7.3,77,C
116,11.3,76.4,5.9,72,C
117,16.6,94.9,5,82.6,B
118,15.2,79.1,8.1,81.9,B
119,26.2,100,3.1,87.2,B
120,13.3,90,1.3,72.9,C
121,7.8,72.9,6.4,72.8,C
122,16.3,80.6,5.7,79.5,C
123,16.5,75.4,3.3,77.3,C
124,24.5,94.6,2.6,89.8,B
125,20.8,65.3,9.9,76.9,C
126,17.5,68.9,6.9,77.1,C
127,25.2,77.9,6,82.7,B
128,6.7,93.2,10,77,C
129,10.5,99.8,8,81.1,B
130,8.5,100,9.5,82.9,B
131,12.3,91.4,3.6,75.6,C
132,5.4,84,3.6,66.7,D
133,19.4,94.5,7.2,87.3,B
134,13.4,71.3,6.8,81.3,B
135,4.7,62.9,8.5,61.2,D
136,7.9,90.2,2.7,75.1,C
137,17.2,72.9,7.4,78,C
138,20.9,84.2,8,84.2,B
139,29,86.4,7.9,86.2,B
140,35.4,88,5.2,96.7,A
141,17.9,96.3,7,82.2,B
142,8.1,95,4.4,78.1,C
143,0.1,87.3,5.4,73.2,C
144,16.9,79.7,3.9,72.2,C
145,9.3,86.3,4.5,76.9,C
146,12.1,77.8,5.5,73.8,C
147,10.7,82.6,5,67.5,D
148,14,100,4.5,78.3,C
149,22.5,87.2,3.4,82.8,B
150,16.1,90.4,9.9,87.7,B
151,13.9,76.5,5,69.2,D
152,7.8,97.2,6.7,78.9,C
153,3.3,94.1,2.5,71.8,C
154,11.6,94.2,8.7,86.1,B
155,14.6,87.6,6.3,78.9,C
156,27.4,97.4,5.1,93,A
157,15.9,100,5.1,87.3,B
158,21.9,88.4,7.7,90.1,A
159,11.5,83.6,0.1,71.5,C
160,6.7,95.7,4.4,75.1,C
161,8.2,74.2,5.8,69.5,D
162,9.9,76.4,5.7,72.6,C
163,29.9,84.4,10,92.5,A
164,9.3,64.1,5.3,69.7,D
165,20.9,94.9,8,84.8,B
166,8.7,73.4,9.6,73,C
167,21.5,79.3,7.3,83.4,B
168,17.7,82.4,4.7,79.9,C
169,13.9,85.5,3.4,77.3,C
170,14.7,80.9,7.5,83.6,B
171,10.4,84.2,9.3,79.5,C
172,18.1,84.3,7.1,80.3,B
173,11.8,79.6,8.5,77.3,C
174,6.4,75.7,10,73.1,C
